Id,Name
363,Stony Brook
364,Duquesne
365,Albany
366, (FCS) Weber State
367,Saint Peter's
368,Butler
369,Georgetown
370,Jacksonville
371,Holy Cross
372,Louisiana-Lafayette
373,Clark Atlanta
374,Campbell
375, (FCS) Kennesaw State
376, Nevada
377,(FCS) UC Davis
378,SW Missouri State
379, (FCS) Towson
380,Monmouth
381,North Carolina A&T
382,Southern
383, Navy
384, Ohio
385,Blue Vs. White Spring Game
386,Blue-White Spring Game
387,Jackson State
388,SW Texas State
389,Southeast Missouri State (FCS)
390,Southeast Missouri
391, Air Force
392,San Diego
393,Hargrave Military Academy
394,Army Prep
395,Georgia Military College
396,Louisburg College
397,Fork Union Military Academy
398,Milford Academy
399,Huntingdon
400,Pikeville
401,Kentucky Wesleyan
402,Missouri S&T
403,Henderson State
404,Arkansas–Monticello
405,West Alabama
406, San Diego State
407,SE Louisiana
408,Tennessee-Martin
409,New Haven
410,American International
411,James Madison
412,Central Connecticut State
413, Maine
414, Villanova
415,Delaware
416, Colgate
417, Rhode Island
418, James Madison
419, Towson
420, New Hampshire
421,Bryant
422, William & Mary
423,Arkansas Pine Bluff
424,Incarnate Word
425, Miami
426, (FCS) North Dakota State
427,Southern Mississippi
428,ECU
429, Clemson†
430,at Marshall
431, (FCS) Western Illinois
432,NR/ Fresno State
433, UCF
434, Temple
435, Duke
436,at Central Michigan
437, Ball State
438, (FCS) Maine
439, Western Michigan
440,Lehigh
441, Bethune-Cookman
442,Carson–Newman
443, Florida Atlantic
444, Georgia Southern
445, Western Kentucky
446, (FCS) Bethune-Cookman
447, Marshall
448,St. Francis (IL)
449, Old Dominion
450,Tennessee State
451, (FCS) Nicholls
452, (FCS) North Carolina A&T
453, Hawaii
454,Miami (Ohio)
455, Toledo
456, Miami (OH)
457,at Tulsa
458, Delaware
459, Richmond
