Source,Target,Weight,Type
Hawaii,BYU,5,Directed
Hawaii,San Diego State,5,Directed
Howard,Rutgers,5,Directed
Illinois, Michigan,5,Directed
Illinois,Michigan State,5,Directed
Illinois,Nebraska,5,Directed
Illinois,Purdue,5,Directed
Indiana, Michigan,5,Directed
Iowa State,Baylor,5,Directed
Iowa State,Kansas,5,Directed
Iowa State,Oklahoma,5,Directed
Iowa State,Texas A&M,5,Directed
Kansas,Colorado,5,Directed
Kansas,Texas Tech,5,Directed
Kansas State,Colorado,5,Directed
Kansas State,Nebraska,5,Directed
Kent State,Akron,5,Directed
Kent State,Ball State,5,Directed
Kent State,Penn State,5,Directed
Louisiana–Lafayette,Arkansas State,5,Directed
Louisiana Tech,Nevada,5,Directed
Maryland,Florida State,5,Directed
Memphis,Houston,5,Directed
Memphis,Middle Tennessee,5,Directed
Memphis,Southern Miss,5,Directed
Memphis,UAB,5,Directed
Miami (OH),Bowling Green,5,Directed
Miami (OH),Cincinnati,5,Directed
Middle Tennessee,Arkansas State,5,Directed
Mississippi State,Alabama,5,Directed
Missouri,Kansas State,5,Directed
Navy,Rutgers,5,Directed
Nevada, Boise State,5,Directed
Nevada,Fresno State,5,Directed
New Mexico,Boise State,5,Directed
New Mexico State,New Mexico,5,Directed
North Carolina,Virginia,5,Directed
Northeastern,UMass,5,Directed
Northern Iowa,Iowa State,5,Directed
Northwestern,Penn State,5,Directed
Northwestern State,Baylor,5,Directed
Notre Dame,Boston College,5,Directed
Notre Dame,USC,5,Directed
Oklahoma State,Kansas State,5,Directed
Ole Miss, Auburn,5,Directed
Oregon State,Arizona,5,Directed
Oregon State,California,5,Directed
Oregon State,Washington State,5,Directed
Pittsburgh,Notre Dame,5,Directed
Purdue,Indiana,5,Directed
Purdue,Notre Dame,5,Directed
Rhode Island,UMass,5,Directed
Rice,UTEP,5,Directed
Rutgers,Boston College,5,Directed
Rutgers,Syracuse,5,Directed
San Diego State,UCLA,5,Directed
San Jose State,Hawaii,5,Directed
SMU,UTEP,5,Directed
South Alabama,Arkansas State,5,Directed
Southern Miss,Marshall,5,Directed
Southern Miss,Memphis,5,Directed
Stanford,Notre Dame,5,Directed
Stanford,UCLA,5,Directed
Syracuse,Boston College,5,Directed
Syracuse,Pittsburgh,5,Directed
Syracuse,South Florida,5,Directed
Syracuse,West Virginia,5,Directed
Tennessee,Alabama,5,Directed
Texas A&M, Texas,5,Directed
Texas A&M,Missouri,5,Directed
Texas Tech,Oklahoma,5,Directed
Toledo,Ball State,5,Directed
Troy,Louisiana,5,Directed
UAB,Marshall,5,Directed
UNLV,BYU,5,Directed
