Source,Target,Weight,Type
Baylor,Texas,2,Directed
Blue-White Spring Game,Middle Tennessee,2,Directed
Boise State,Arkansas,2,Directed
Boise State,Oregon State,2,Directed
Boston College,Georgia Tech,2,Directed
Boston College,Pittsburgh,2,Directed
Bowling Green,Boise State,2,Directed
Bowling Green,Buffalo,2,Directed
Bowling Green,Marshall,2,Directed
Bowling Green,Miami (OH),2,Directed
Bowling Green,Michigan State,2,Directed
Bowling Green,Wisconsin,2,Directed
Buffalo,Boston College,2,Directed
Buffalo,Eastern Michigan,2,Directed
Buffalo,Penn State,2,Directed
Buffalo,Pittsburgh,2,Directed
BYU,Florida State,2,Directed
BYU,New Mexico,2,Directed
BYU,San Diego State,2,Directed
BYU,UCLA,2,Directed
BYU,UNLV,2,Directed
BYU,Utah State,2,Directed
Cal State-Northridge,SMU,2,Directed
California, USC,2,Directed
California, Washington,2,Directed
California,BYU,2,Directed
California,Colorado,2,Directed
California,Illinois,2,Directed
California,Nevada,2,Directed
California,Washington State,2,Directed
Campbell,Georgia State,2,Directed
Central Connecticut State,UMass,2,Directed
Central Michigan,Ball State,2,Directed
Central Michigan,Indiana,2,Directed
Central Michigan,Kansas,2,Directed
Central Michigan,NC State,2,Directed
Central Michigan,Syracuse,2,Directed
Charleston Southern,Hawaii,2,Directed
Charlotte,FIU,2,Directed
Charlotte,Middle Tennessee,2,Directed
Chattanooga,Alabama,2,Directed
Cincinnati,Memphis,2,Directed
Cincinnati,Miami (OH),2,Directed
Cincinnati,Rutgers,2,Directed
Cincinnati,West Virginia,2,Directed
Clark Atlanta,Georgia State,2,Directed
Clemson, Florida State,2,Directed
Clemson, Miami (FL),2,Directed
Clemson,Boston College,2,Directed
Clemson,Maryland,2,Directed
Colorado, Oklahoma State,2,Directed
Colorado, Oregon,2,Directed
Colorado, Stanford,2,Directed
Colorado, Washington,2,Directed
Colorado,Arizona State,2,Directed
Colorado,Florida State,2,Directed
Colorado,Hawaii,2,Directed
Colorado,Oklahoma,2,Directed
Colorado,Texas A&M,2,Directed
Colorado,Utah,2,Directed
Colorado,Washington State,2,Directed
Colorado State,Alabama,2,Directed
Connecticut,Georgia Tech,2,Directed
Duke,NC State,2,Directed
Duke,Northwestern,2,Directed
Eastern Illinois,Hawaii,2,Directed
Eastern Illinois,Illinois,2,Directed
Eastern Michigan,Buffalo,2,Directed
Eastern Michigan,Miami (OH),2,Directed
Eastern Michigan,Northwestern,2,Directed
Eastern Michigan,Ohio,2,Directed
Eastern Michigan,Penn State,2,Directed
Eastern Washington,Oregon State,2,Directed
FIU, (FCS) Bethune-Cookman,2,Directed
FIU,Florida Atlantic,2,Directed
FIU,Louisiana,2,Directed
FIU,Louisiana-Monroe,2,Directed
FIU,Louisiana–Lafayette,2,Directed
FIU,Marshall,2,Directed
FIU,UMass,2,Directed
FIU,WKU,2,Directed
Florida,Florida State,2,Directed
Florida Atlantic,Alabama,2,Directed
Florida Atlantic,Michigan State,2,Directed
Florida Atlantic,Nebraska,2,Directed
Florida Atlantic,Troy,2,Directed
Florida Atlantic,UCF,2,Directed
Florida International,Alabama,2,Directed
Florida State, Clemson,2,Directed
Florida State, Wake Forest,2,Directed
Florida State,Miami (FL),2,Directed
Florida State,North Carolina,2,Directed
Fresno State,Hawaii,2,Directed
Fresno State,Nebraska,2,Directed
Fresno State,Ole Miss,2,Directed
Fresno State,San Diego State,2,Directed
Fresno State,SMU,2,Directed
Fresno State,Washington,2,Directed
Gardner–Webb,Ohio,2,Directed
Georgia Southern,Georgia Tech,2,Directed
Georgia State,Alabama,2,Directed
Georgia State,Appalachian State,2,Directed
Georgia State,Louisiana,2,Directed
Georgia State,Louisiana–Lafayette,2,Directed
Georgia State,Murray State,2,Directed
Georgia State,Old Dominion,2,Directed
Georgia State,St. Francis (IL),2,Directed
Georgia State,Texas State,2,Directed
Georgia Tech, Florida State,2,Directed
Georgia Tech, Virginia Tech,2,Directed
Georgia Tech,Duke,2,Directed
Georgia Tech,Florida State,2,Directed
Georgia Tech,Georgia,2,Directed
Georgia Tech,Miami (FL),2,Directed
Hawaii, Boise State,2,Directed
Hawaii, Fresno State,2,Directed
Hawaii,Colorado State,2,Directed
Hawaii,UNLV,2,Directed
Hawaii,USC,2,Directed
Hawaii,Utah State,2,Directed
Hawaii,UTEP,2,Directed
Hawaii,Wisconsin,2,Directed
Hofstra,Marshall,2,Directed
Holy Cross,UMass,2,Directed
Houston,Marshall,2,Directed
Houston,Memphis,2,Directed
Houston,UCF,2,Directed
Howard,Kent State,2,Directed
Idaho,Arizona,2,Directed
Idaho,BYU,2,Directed
Idaho,San Diego State,2,Directed
Idaho,USC,2,Directed
Idaho State,Boise State,2,Directed
Idaho State,BYU,2,Directed
Idaho State,Oregon State,2,Directed
Illinois, Iowa,2,Directed
Illinois, Michigan State,2,Directed
Illinois,California,2,Directed
Illinois,Rutgers,2,Directed
Illinois,UCLA,2,Directed
Illinois State,Illinois,2,Directed
Indiana, Michigan State,2,Directed
Indiana, Wisconsin,2,Directed
Indiana,Ball State,2,Directed
Indiana,Iowa,2,Directed
Indiana,Minnesota,2,Directed
Indiana,NC State,2,Directed
Indiana,Rutgers,2,Directed
Indiana,Virginia,2,Directed
Indiana State,Northern Illinois,2,Directed
Iowa,Illinois,2,Directed
Iowa,Wisconsin,2,Directed
Iowa State, (FCS) Northern Iowa,2,Directed
Iowa State, Baylor,2,Directed
Iowa State, Kansas State,2,Directed
Iowa State, Missouri,2,Directed
Iowa State,Texas,2,Directed
Iowa State,Toledo,2,Directed
Iowa State,West Virginia,2,Directed
Jackson State,Southern Miss,2,Directed
Jacksonville,FIU,2,Directed
Jacksonville State,Georgia Tech,2,Directed
James Madison,UMass,2,Directed
Kansas, Baylor,2,Directed
Kansas, Oklahoma State,2,Directed
Kansas, TCU,2,Directed
Kansas, Texas Tech,2,Directed
Kansas,Memphis,2,Directed
Kansas,Northwestern,2,Directed
Kansas,Ohio,2,Directed
Kansas,Texas,2,Directed
Kansas State, Baylor,2,Directed
Kansas State, Nebraska,2,Directed
Kansas State, TCU,2,Directed
Kansas State, Texas,2,Directed
Kent State,Alabama,2,Directed
Kent State,Boston College,2,Directed
Kent State,Illinois,2,Directed
Kent State,Iowa State,2,Directed
Kent State,South Alabama,2,Directed
Kentucky,Indiana,2,Directed
Liberty,Kent State,2,Directed
Liberty,Toledo,2,Directed
Liberty,UCF,2,Directed
Louisiana,Appalachian State,2,Directed
Louisiana,Middle Tennessee,2,Directed
Louisiana-Monroe,Middle Tennessee,2,Directed
Louisiana–Lafayette,Arkansas,2,Directed
Louisiana–Lafayette,South Alabama,2,Directed
Louisiana–Lafayette,Texas A&M,2,Directed
Louisiana–Lafayette,UCF,2,Directed
Louisiana–Monroe,Alabama,2,Directed
Louisiana–Monroe,Memphis,2,Directed
Louisiana–Monroe,Oklahoma,2,Directed
Louisiana–Monroe,Ole Miss,2,Directed
Louisiana–Monroe,South Alabama,2,Directed
Louisiana Tech,Clemson,2,Directed
Louisiana Tech,North Texas,2,Directed
Louisiana Tech,Penn State,2,Directed
Louisiana Tech,Western Kentucky,2,Directed
Louisville,Clemson,2,Directed
Louisville,Florida State,2,Directed
Louisville,Syracuse,2,Directed
Louisville,West Virginia,2,Directed
Maine,Syracuse,2,Directed
Marshall, West Virginia,2,Directed
Marshall,East Carolina,2,Directed
Marshall,FIU,2,Directed
Marshall,Kansas State,2,Directed
Marshall,Memphis,2,Directed
Marshall,NC State,2,Directed
Marshall,Toledo,2,Directed
Marshall,Tulsa,2,Directed
Marshall,UTEP,2,Directed
Marshall,WKU,2,Directed
Maryland,Boston College,2,Directed
Maryland,Indiana,2,Directed
Maryland,Michigan State,2,Directed
Maryland,Penn State,2,Directed
Maryland,Wisconsin,2,Directed
Memphis,Louisville,2,Directed
Memphis,Mississippi State,2,Directed
Memphis,South Florida,2,Directed
Memphis,Tennessee,2,Directed
Miami,Virginia,2,Directed
Miami (FL),Florida State,2,Directed
Miami (FL),Georgia Tech,2,Directed
Miami (OH),Akron,2,Directed
Miami (OH),Boise State,2,Directed
Miami (OH),Central Michigan,2,Directed
Miami (OH),Missouri,2,Directed
Miami (OH),Northwestern,2,Directed
Miami (OH),Toledo,2,Directed
Michigan,Notre Dame,2,Directed
Michigan,Penn State,2,Directed
Michigan State, Penn State,2,Directed
Michigan State,California,2,Directed
Michigan State,Illinois,2,Directed
Michigan State,Indiana,2,Directed
Michigan State,Minnesota,2,Directed
Michigan State,Purdue,2,Directed
Middle Tennessee,Alabama,2,Directed
Middle Tennessee,BYU,2,Directed
Middle Tennessee,Georgia Tech,2,Directed
Middle Tennessee,Illinois,2,Directed
Middle Tennessee,Memphis,2,Directed
Middle Tennessee,North Texas,2,Directed
Middle Tennessee,Vanderbilt,2,Directed
Middle Tennessee,WKU,2,Directed
Minnesota,Penn State,2,Directed
Missouri, Kansas State,2,Directed
Missouri, Nebraska,2,Directed
Missouri, Oklahoma,2,Directed
Missouri,Baylor,2,Directed
Missouri,Michigan State,2,Directed
Morgan State,Rutgers,2,Directed
Murray State,Missouri,2,Directed
Navy,Boston College,2,Directed
Navy,Toledo,2,Directed
NC State,Louisville,2,Directed
NC State,Virginia,2,Directed
NC State,Wake Forest,2,Directed
Nebraska, Texas,2,Directed
Nebraska,Iowa,2,Directed
Nebraska,Iowa State,2,Directed
Nebraska,Oklahoma,2,Directed
Nebraska,Wisconsin,2,Directed
Nevada,BYU,2,Directed
Nevada,Missouri,2,Directed
Nevada,New Mexico,2,Directed
Nevada,Notre Dame,2,Directed
Nevada,Toledo,2,Directed
New Mexico, Boise State,2,Directed
New Mexico,Fresno State,2,Directed
New Mexico,New Mexico State,2,Directed
New Mexico,Oregon State,2,Directed
New Mexico,TCU,2,Directed
New Mexico,Texas Tech,2,Directed
New Mexico,Tulsa,2,Directed
New Mexico,Wyoming,2,Directed
New Mexico State,Arkansas State,2,Directed
New Mexico State,BYU,2,Directed
New Mexico State,California,2,Directed
New Mexico State,Nevada,2,Directed
New Mexico State,Troy,2,Directed
Nicholls State,Louisiana,2,Directed
Nicholls State,Louisiana Tech,2,Directed
North Carolina,Notre Dame,2,Directed
North Texas,Arkansas,2,Directed
North Texas,FIU,2,Directed
North Texas,Troy,2,Directed
North Texas,UTEP,2,Directed
Northern Illinois,Boston College,2,Directed
Northern Illinois,Illinois,2,Directed
Northern Illinois,Iowa State,2,Directed
Northern Illinois,Northwestern,2,Directed
Northern Illinois,San Diego State,2,Directed
Northwestern, Penn State,2,Directed
Northwestern,Indiana,2,Directed
Northwestern,Iowa,2,Directed
Notre Dame,Navy,2,Directed
Notre Dame,Pittsburgh,2,Directed
Notre Dame,Syracuse,2,Directed
Ohio,Ball State,2,Directed
Ohio,Central Michigan,2,Directed
Ohio,Northern Illinois,2,Directed
Ohio,Northwestern,2,Directed
Ohio,Rutgers,2,Directed
Oklahoma, Kansas State,2,Directed
Oklahoma,Oklahoma State,2,Directed
Oklahoma State,Iowa State,2,Directed
Old Dominion,Marshall,2,Directed
Old Dominion,NC State,2,Directed
Old Dominion,Western Kentucky,2,Directed
Ole Miss,Auburn,2,Directed
Ole Miss,Memphis,2,Directed
Ole Miss,Missouri,2,Directed
Ole Miss,Texas A&M,2,Directed
Ole Miss,Vanderbilt,2,Directed
Oregon,California,2,Directed
Oregon State, UCLA,2,Directed
Oregon State, Utah,2,Directed
Oregon State,Arizona State,2,Directed
Penn State, Michigan State,2,Directed
Penn State,Boston College,2,Directed
Penn State,Iowa,2,Directed
Penn State,Virginia,2,Directed
Pittsburgh,Georgia Tech,2,Directed
Pittsburgh,Virginia,2,Directed
Portland State,California,2,Directed
Purdue,Illinois,2,Directed
Purdue,Nebraska,2,Directed
Rice,Hawaii,2,Directed
Rice,Nevada,2,Directed
Rice,Texas A&M,2,Directed
Rice,UCLA,2,Directed
Rutgers, Michigan State,2,Directed
Rutgers, Ohio State,2,Directed
Rutgers, Virginia Tech,2,Directed
Rutgers,Cincinnati,2,Directed
Rutgers,Connecticut,2,Directed
Rutgers,Illinois,2,Directed
Rutgers,Indiana,2,Directed
Rutgers,Louisville,2,Directed
Rutgers,Maryland,2,Directed
Rutgers,North Carolina,2,Directed
Rutgers,Temple,2,Directed
Sacramento State,California,2,Directed
Sam Houston State,Baylor,2,Directed
Sam Houston State,Texas A&M,2,Directed
Samford,Baylor,2,Directed
San Diego State, BYU,2,Directed
San Diego State,Air Force,2,Directed
San Diego State,Arizona,2,Directed
San Diego State,Arizona State,2,Directed
San Diego State,Boise State,2,Directed
San Diego State,Cal Poly,2,Directed
San Diego State,Nevada,2,Directed
San Diego State,UNLV,2,Directed
San Diego State,Utah,2,Directed
San Diego State,Wyoming,2,Directed
San Jose State,BYU,2,Directed
San José State,Nebraska,2,Directed
SE Missouri State,Kansas,2,Directed
SMU, UCF,2,Directed
SMU,Arkansas,2,Directed
SMU,Cincinnati,2,Directed
SMU,Houston,2,Directed
SMU,Marshall,2,Directed
SMU,South Florida,2,Directed
SMU,TCU,2,Directed
SMU,Tulsa,2,Directed
South Alabama,Georgia Southern,2,Directed
South Alabama,Louisiana Tech,2,Directed
South Carolina,Arkansas,2,Directed
South Carolina,Texas A&M,2,Directed
South Dakota,Kansas State,2,Directed
South Florida,Memphis,2,Directed
South Florida,Rutgers,2,Directed
South Florida,Southern Miss,2,Directed
Southeast Missouri State,Arkansas State,2,Directed
Southern,Louisiana,2,Directed
Southern,Louisiana Tech,2,Directed
Southern Illinois,Illinois,2,Directed
Southern Miss, Boise State,2,Directed
Southern Miss,Boise State,2,Directed
Southern Miss,Louisiana Tech,2,Directed
Southern Miss,Louisville,2,Directed
Southern Miss,Middle Tennessee,2,Directed
Southern Miss,North Texas,2,Directed
Southern Miss,Rice,2,Directed
Southern Miss,UCF,2,Directed
Southern Utah,Nevada,2,Directed
Stanford,USC,2,Directed
Stanford,Washington,2,Directed
Stony Brook,UMass,2,Directed
SW Missouri State,Kansas,2,Directed
Syracuse, Cincinnati,2,Directed
Syracuse, Clemson,2,Directed
Syracuse, Louisville,2,Directed
Syracuse, West Virginia,2,Directed
Syracuse,Cincinnati,2,Directed
Syracuse,Connecticut,2,Directed
Syracuse,Northwestern,2,Directed
Syracuse,Virginia,2,Directed
Syracuse,Washington,2,Directed
TCU,West Virginia,2,Directed
Temple,Boston College,2,Directed
Temple,Buffalo,2,Directed
Temple,Northern Illinois,2,Directed
Temple,Notre Dame,2,Directed
Temple,Rutgers,2,Directed
Temple,Syracuse,2,Directed
Temple,UCF,2,Directed
Tennessee,Missouri,2,Directed
Tennessee,Ole Miss,2,Directed
Tennessee Tech,Northern Illinois,2,Directed
Texas,Kansas State,2,Directed
Texas A&M, Auburn,2,Directed
Texas A&M, LSU,2,Directed
Texas A&M, Texas Tech,2,Directed
Texas State,Baylor,2,Directed
Texas State,New Mexico,2,Directed
Texas State,South Alabama,2,Directed
Texas Tech,Colorado,2,Directed
Texas Tech,Missouri,2,Directed
The Citadel,Florida State,2,Directed
Toledo,Buffalo,2,Directed
Toledo,Iowa State,2,Directed
Toledo,Kansas,2,Directed
Toledo,Ohio,2,Directed
Toledo,Syracuse,2,Directed
Troy,Clemson,2,Directed
Troy,FIU,2,Directed
Troy,Louisiana–Monroe,2,Directed
Tulane,Marshall,2,Directed
Tulane,UTEP,2,Directed
Tulsa,Hawaii,2,Directed
Tulsa,Memphis,2,Directed
Tulsa,UCF,2,Directed
UAB,Middle Tennessee,2,Directed
UAB,Texas A&M,2,Directed
UC Davis,Nevada,2,Directed
UCF,FIU,2,Directed
UCF,Ohio,2,Directed
UCF,Penn State,2,Directed
UCF,South Florida,2,Directed
UCF,Tulsa,2,Directed
UCLA, Arizona State,2,Directed
UCLA, Utah,2,Directed
UCLA,Notre Dame,2,Directed
UCLA,Oklahoma,2,Directed
UCLA,Stanford,2,Directed
UConn,Memphis,2,Directed
UConn,SMU,2,Directed
UConn,UCF,2,Directed
UMass, Delaware,2,Directed
UMass,FIU,2,Directed
UMass,Hawaii,2,Directed
UMass,Hofstra,2,Directed
UMass,Miami (OH),2,Directed
UMass,Richmond,2,Directed
UNLV,Arizona,2,Directed
UNLV,Boise State,2,Directed
UNLV,Iowa State,2,Directed
UNLV,Wisconsin,2,Directed
USC, Oregon,2,Directed
USC, Stanford,2,Directed
USC,Arizona,2,Directed
USC,Arizona State,2,Directed
USC,California,2,Directed
USC,Washington State,2,Directed
UT Martin,Memphis,2,Directed
Utah,Arizona,2,Directed
Utah,BYU,2,Directed
Utah,New Mexico,2,Directed
Utah,Oregon State,2,Directed
Utah,UCLA,2,Directed
Utah,Washington,2,Directed
Utah State,Alabama,2,Directed
Utah State,Arkansas State,2,Directed
Utah State,Hawaii,2,Directed
Utah State,Nebraska,2,Directed
Utah State,New Mexico,2,Directed
Utah State,Oklahoma,2,Directed
Utah State,San Diego State,2,Directed
Utah State,USC,2,Directed
Utah State,Wisconsin,2,Directed
UTEP,Arizona,2,Directed
UTEP,Arkansas,2,Directed
UTEP,Buffalo,2,Directed
UTEP,FIU,2,Directed
UTEP,Houston,2,Directed
UTEP,Marshall,2,Directed
UTEP,Nevada,2,Directed
UTEP,New Mexico State,2,Directed
UTEP,San Jose State,2,Directed
UTEP,Texas A&M,2,Directed
UTSA,Arizona,2,Directed
UTSA,Marshall,2,Directed
UTSA,Southern Miss,2,Directed
Vanderbilt,Alabama,2,Directed
Vanderbilt,Missouri,2,Directed
Villanova,Rutgers,2,Directed
Villanova,UMass,2,Directed
Virginia, Clemson,2,Directed
Virginia, Florida State,2,Directed
Virginia,BYU,2,Directed
Virginia,Clemson,2,Directed
Virginia,Duke,2,Directed
Virginia,Indiana,2,Directed
Virginia,North Carolina,2,Directed
Virginia,Pittsburgh,2,Directed
Virginia,Southern Miss,2,Directed
Virginia,Wake Forest,2,Directed
VMI,Ohio,2,Directed
VMI,Virginia,2,Directed
Wagner,Syracuse,2,Directed
Washington, California,2,Directed
Washington, Stanford,2,Directed
Washington,Stanford,2,Directed
Washington,Washington State,2,Directed
West Virginia, Kansas State,2,Directed
West Virginia, Oklahoma,2,Directed
West Virginia, Virginia Tech,2,Directed
West Virginia,Baylor,2,Directed
West Virginia,Cincinnati,2,Directed
West Virginia,Kansas State,2,Directed
West Virginia,Oklahoma,2,Directed
West Virginia,Pittsburgh,2,Directed
Western Carolina,NC State,2,Directed
Western Illinois,Missouri,2,Directed
Western Illinois,Wisconsin,2,Directed
Western Kentucky,Arkansas State,2,Directed
Western Kentucky,Indiana,2,Directed
Western Kentucky,North Texas,2,Directed
Western Kentucky,Wisconsin,2,Directed
Western Michigan,Illinois,2,Directed
Western Michigan,Indiana,2,Directed
Western Michigan,Kent State,2,Directed
Western Michigan,Marshall,2,Directed
William & Mary,UMass,2,Directed
William & Mary,Virginia,2,Directed
Wisconsin, Penn State,2,Directed
Wisconsin, Purdue,2,Directed
Wisconsin,Illinois,2,Directed
Wisconsin,Iowa,2,Directed
WKU,Alabama,2,Directed
Wofford,Clemson,2,Directed
Wyoming,Hawaii,2,Directed
Wyoming,Nebraska,2,Directed
Wyoming,Texas A&M,2,Directed
Youngstown State,Michigan State,2,Directed
Youngstown State,Penn State,2,Directed
 (1-AA) Appalachian State,Marshall,1,Directed
 (FCS) Appalachian State,NC State,1,Directed
 (FCS) Bethune–Cookman,Florida State,1,Directed
 (FCS) Bethune–Cookman,UCF,1,Directed
 (FCS) Central Arkansas,Colorado,1,Directed
 (FCS) Central Arkansas,Kansas State,1,Directed
 (FCS) Central Arkansas,Louisiana Tech,1,Directed
 (FCS) Central Arkansas,Ole Miss,1,Directed
 (FCS) Charleston Southern,Florida State,1,Directed
 (FCS) Chattanooga,Florida State,1,Directed
 (FCS) Colgate,Syracuse,1,Directed
 (FCS) Eastern Illinois,Northern Illinois,1,Directed
 (FCS) Eastern Kentucky,NC State,1,Directed
 (FCS) Eastern Washington,Toledo,1,Directed
 (FCS) Eastern Washington,Washington,1,Directed
 (FCS) Furman,Clemson,1,Directed
 (FCS) Georgia Southern,Alabama,1,Directed
 (FCS) Illinois State,Ball State,1,Directed
 (FCS) Indiana State,Indiana,1,Directed
 (FCS) Jacksonville State,Arkansas,1,Directed
 (FCS) Jacksonville State,Georgia Tech,1,Directed
 (FCS) Jacksonville State,Michigan State,1,Directed
 (FCS) James Madison,NC State,1,Directed
 (FCS) Kennesaw State,Georgia State,1,Directed
 (FCS) Liberty,NC State,1,Directed
 (FCS) Massachusetts,Boston College,1,Directed
 (FCS) McNeese State,BYU,1,Directed
 (FCS) McNeese State,Kansas,1,Directed
 (FCS) McNeese State,Louisiana,1,Directed
 (FCS) McNeese State,Nebraska,1,Directed
 (FCS) Montana State,Arkansas State,1,Directed
 (FCS) Montana State,SMU,1,Directed
 (FCS) New Hampshire,San Diego State,1,Directed
 (FCS) Northern Arizona,Arizona,1,Directed
 (FCS) Northern Arizona,San Diego State,1,Directed
 (FCS) Northern Iowa,Hawaii,1,Directed
 (FCS) Northern Iowa,Wisconsin,1,Directed
 (FCS) Portland State,Washington,1,Directed
 (FCS) Richmond,NC State,1,Directed
 (FCS) Richmond,Virginia,1,Directed
 (FCS) Sam Houston State,Baylor,1,Directed
 (FCS) Samford,Florida State,1,Directed
 (FCS) South Carolina State,Indiana,1,Directed
 (FCS) South Dakota,Wisconsin,1,Directed
 (FCS) South Dakota State,Nebraska,1,Directed
 (FCS) Southern Illinois,Ole Miss,1,Directed
 (FCS) Stephen F. Austin,Baylor,1,Directed
 (FCS) Stony Brook,Buffalo,1,Directed
 (FCS) Stony Brook,Syracuse,1,Directed
 (FCS) The Citadel,NC State,1,Directed
 (FCS) Towson,Kent State,1,Directed
 (FCS) UMass,Boston College,1,Directed
 (FCS) Villanova,Boston College,1,Directed
 (FCS) Villanova,Syracuse,1,Directed
 (FCS) Weber State,California,1,Directed
 (FCS) William & Mary,NC State,1,Directed
 (FCS) William & Mary,Virginia,1,Directed
 (FCS) Wofford,Baylor,1,Directed
 (FCS) Wofford,Clemson,1,Directed
 (FCS) Youngstown State,Illinois,1,Directed
 (FCS) Youngstown State,West Virginia,1,Directed
 (I-AA) Western Kentucky,Kansas State,1,Directed
 Air Force,San Diego State,1,Directed
 Alabama,Ole Miss,1,Directed
 Alabama,UCLA,1,Directed
 Arizona,California,1,Directed
 Arizona,USC,1,Directed
 Arizona State,Illinois,1,Directed
 Arizona State,San Diego State,1,Directed
 Arizona State,UCLA,1,Directed
 Arizona State,USC,1,Directed
 Arkansas,Ole Miss,1,Directed
 Auburn,Georgia Tech,1,Directed
 Baylor,Kansas State,1,Directed
 Baylor,Oklahoma,1,Directed
 Baylor,Texas A&M,1,Directed
 Baylor,West Virginia,1,Directed
 Boise State,BYU,1,Directed
 Boise State,Hawaii,1,Directed
 Boise State,Michigan State,1,Directed
 Boise State,Nevada,1,Directed
 Boston College,Florida State,1,Directed
 Boston College,NC State,1,Directed
 Boston College,Syracuse,1,Directed
 Bowling Green,Miami (OH),1,Directed
 Bowling Green,Northern Illinois,1,Directed
 Bowling Green,Toledo,1,Directed
 BYU,Hawaii,1,Directed
 BYU,UCLA,1,Directed
 BYU,Washington,1,Directed
 California,Washington,1,Directed
 Chattanooga (FCS),Alabama,1,Directed
 Cincinnati,Toledo,1,Directed
 Cincinnati,UCF,1,Directed
 Clemson,Boston College,1,Directed
 Clemson,Georgia Tech,1,Directed
 Clemson,NC State,1,Directed
 Clemson,Syracuse,1,Directed
 Clemson,Texas A&M,1,Directed
 Colgate,UMass,1,Directed
 Colorado,Iowa State,1,Directed
 Colorado,Oklahoma,1,Directed
 Colorado State,UCLA,1,Directed
 Connecticut,West Virginia,1,Directed
 East Carolina,NC State,1,Directed
 Florida,Arkansas,1,Directed
 Florida,Missouri,1,Directed
 Florida State,Oklahoma,1,Directed
 Florida State,Virginia,1,Directed
 Fresno State,Boise State,1,Directed
 Fresno State,Hawaii,1,Directed
 Fresno State,Louisiana Tech,1,Directed
 Fresno State,USC,1,Directed
 Georgia,Clemson,1,Directed
 Georgia,Ole Miss,1,Directed
 Georgia Tech,Clemson,1,Directed
 Georgia Tech,Kansas,1,Directed
 Georgia Tech,Notre Dame,1,Directed
 Houston,Memphis,1,Directed
 Houston,UCF,1,Directed
 Houston,UCLA,1,Directed
 Houston,UTEP,1,Directed
 Illinois,Penn State,1,Directed
 Iowa,Arizona,1,Directed
 Iowa,Indiana,1,Directed
 Iowa,Iowa State,1,Directed
 Iowa,Michigan State,1,Directed
 Iowa,Northwestern,1,Directed
 Iowa,Penn State,1,Directed
 Iowa,Wisconsin,1,Directed
 Iowa State,Kansas State,1,Directed
 Iowa State,Nebraska,1,Directed
 Iowa State,Oklahoma,1,Directed
 James Madison,UMass,1,Directed
 Kansas,Colorado,1,Directed
 Kansas State,Colorado,1,Directed
 Kansas State,Oklahoma,1,Directed
 Kansas State,Texas A&M,1,Directed
 Kentucky,Texas A&M,1,Directed
 Louisville,Illinois,1,Directed
 Louisville,NC State,1,Directed
 Louisville,Rutgers,1,Directed
 Louisville,Syracuse,1,Directed
 Louisville,Virginia,1,Directed
 Louisville,West Virginia,1,Directed
 LSU,Texas A&M,1,Directed
 Maryland,Boston College,1,Directed
 Maryland,Northern Illinois,1,Directed
 Maryland,Virginia,1,Directed
 Miami (FL),Georgia Tech,1,Directed
 Michigan,Nebraska,1,Directed
 Michigan,Northwestern,1,Directed
 Michigan,Penn State,1,Directed
 Michigan,UCLA,1,Directed
 Michigan,Washington,1,Directed
 Michigan State,Indiana,1,Directed
 Michigan State,Northwestern,1,Directed
 Michigan State,Notre Dame,1,Directed
 Michigan State,Penn State,1,Directed
 Michigan State,Wisconsin,1,Directed
 Minnesota,Indiana,1,Directed
 Minnesota,Michigan State,1,Directed
 Minnesota,Penn State,1,Directed
 Minnesota,Wisconsin,1,Directed
 Mississippi State,Texas A&M,1,Directed
 Missouri,Colorado,1,Directed
 Missouri,Nebraska,1,Directed
 Missouri,Texas A&M,1,Directed
 Navy,Memphis,1,Directed
 NC State,Clemson,1,Directed
 NC State,Notre Dame,1,Directed
 NC State,Syracuse,1,Directed
 NC State,Virginia,1,Directed
 Nebraska,Colorado,1,Directed
 Nebraska,Iowa State,1,Directed
 Nebraska,Kansas State,1,Directed
 Nebraska,Michigan State,1,Directed
 Nebraska,Oklahoma,1,Directed
 Nebraska,Penn State,1,Directed
 Nebraska,Texas A&M,1,Directed
 Nebraska,UCLA,1,Directed
 Nebraska,Wisconsin,1,Directed
 Nevada,Hawaii,1,Directed
 North Carolina,Virginia,1,Directed
 Northern Illinois,Toledo,1,Directed
 Northwestern,Penn State,1,Directed
 Northwestern,Wisconsin,1,Directed
 Notre Dame,Michigan State,1,Directed
 Notre Dame,Nebraska,1,Directed
 Ohio,Miami (OH),1,Directed
 Ohio State,Northwestern,1,Directed
 Ohio State,UCLA,1,Directed
 Oklahoma,Colorado,1,Directed
 Oklahoma,Missouri,1,Directed
 Oklahoma,UCLA,1,Directed
 Oklahoma State,Arizona,1,Directed
 Oklahoma State,Baylor,1,Directed
 Oklahoma State,Iowa State,1,Directed
 Oklahoma State,Nebraska,1,Directed
 Ole Miss,Arkansas,1,Directed
 Ole Miss,Memphis,1,Directed
 Ole Miss†,Arkansas,1,Directed
 Oregon,Boise State,1,Directed
 Oregon,Michigan State,1,Directed
 Oregon,Nebraska,1,Directed
 Oregon,Oregon State,1,Directed
 Oregon,UCLA,1,Directed
 Oregon State,USC,1,Directed
 Oregon State,Washington,1,Directed
 Penn State,Alabama,1,Directed
 Penn State,Illinois,1,Directed
 Penn State,Notre Dame,1,Directed
 Penn State,Wisconsin,1,Directed
 Pittsburgh,Toledo,1,Directed
 Purdue,Northwestern,1,Directed
 Purdue,Notre Dame,1,Directed
 Purdue,Penn State,1,Directed
 Rhode Island,UMass,1,Directed
